START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Year,Month,Day,Hour,Weekday
05-05-2016 22:34,05-05-2016 22:40,Business,Redmond,Bellevue,2.9,Errand/Supplies,2016,5,5,22,Thursday
05-05-2016 23:55,06-05-2016 00:08,Business,Bellevue,Seattle,12.9,Meeting,2016,5,5,23,Thursday
06-05-2016 05:47,06-05-2016 06:02,Business,Capitol One,Mcvan,14.4,Meeting,2016,5,6,5,Friday
06-05-2016 16:45,06-05-2016 16:59,Business,Chapel Hill,Morrisville,17,Meeting,2016,5,6,16,Friday
06-05-2016 17:18,06-05-2016 17:44,Business,Morrisville,Cary,7.9,Customer Visit,2016,5,6,17,Friday
09-05-2016 06:08,09-05-2016 06:25,Business,Cary,Morrisville,8.4,Customer Visit,2016,5,9,6,Monday
09-05-2016 14:39,09-05-2016 15:06,Business,San Francisco,Palo Alto,20.5,Between Offices,2016,5,9,14,Monday
09-05-2016 17:58,09-05-2016 18:26,Business,Palo Alto,Sunnyvale,9.8,Customer Visit,2016,5,9,17,Monday
09-05-2016 19:35,09-05-2016 19:59,Business,Sunnyvale,Newark,17.6,Customer Visit,2016,5,9,19,Monday
10-05-2016 09:03,10-05-2016 09:20,Business,Newark,Menlo Park,9.3,Customer Visit,2016,5,10,9,Tuesday
10-05-2016 17:19,10-05-2016 17:31,Business,Menlo Park,Newark,7.9,Customer Visit,2016,5,10,17,Tuesday
11-05-2016 08:35,11-05-2016 09:12,Business,Newark,San Francisco,25.6,Meeting,2016,5,11,8,Wednesday
11-05-2016 21:47,11-05-2016 22:04,Business,Morrisville,Cary,8.1,Meeting,2016,5,11,21,Wednesday
01-06-2016 10:19,01-06-2016 10:47,Business,Cary,Morrisville,6.7,Customer Visit,2016,6,1,10,Wednesday
01-06-2016 13:10,01-06-2016 13:39,Business,Morrisville,Cary,9.6,Meeting,2016,6,1,13,Wednesday
03-06-2016 11:29,03-06-2016 11:49,Business,Cary,Durham,10.4,Meeting,2016,6,3,11,Friday
03-06-2016 13:08,03-06-2016 13:38,Business,Durham,Cary,9.9,Meeting,2016,6,3,13,Friday
03-06-2016 15:31,03-06-2016 15:54,Business,Cary,Morrisville,6,Meal/Entertain,2016,6,3,15,Friday
03-06-2016 18:14,03-06-2016 18:29,Business,Townes at Everett Crossing,Chessington,3.3,Errand/Supplies,2016,6,3,18,Friday
03-06-2016 18:41,03-06-2016 18:53,Business,Morrisville,Cary,3.1,Errand/Supplies,2016,6,3,18,Friday
03-06-2016 19:36,03-06-2016 19:42,Business,Huntington Woods,Weston,1.7,Errand/Supplies,2016,6,3,19,Friday
03-06-2016 22:47,03-06-2016 23:06,Business,Morrisville,Cary,4,Between Offices,2016,6,3,22,Friday
05-06-2016 14:03,05-06-2016 14:33,Business,Whitebridge,Savon Height,7.8,Customer Visit,2016,6,5,14,Sunday
